Name;XT;Module;Channel
CEMENT_M_1;AI;1;1
CEMENT_M_2;AI;1;2
ADDITIONS_M_1;AI;1;3
CONVEYOR_M_1;AI;1;4
HUMIDITY_1;AI;2;1

DCEMENT_CLOSED_1;DI;3;1
DCEMENT_CLOSED_2;DI;3;2
DADDITIONS_CLOSED_1;DI;3;3
CONVEYOR_ISON_1;DI;3;4
TCONVEYOR_ISON_1;DI;3;5
MCONTAINER_CLOSED_1;DI;3;6
MCONTAINER_LEVEL_1;DI;3;7
AUGER_ISON_1;DI;3;8

AUGER_ISON_2;DI;4;1
AUGER_ISON_3;DI;4;2
WATER_Q_1;DI;4;3
APUMP_ISON_1;DI;4;4
FILLER_CLOSED_1;DI;4;5
FILLER_CLOSED_2;DI;4;6
FILLER_CLOSED_3;DI;4;7
MIXER_CLOSED_1;DI;4;8

MIXER_OPENED_1;DI;5;1
MIXER_CLOSED_2;DI;5;2
MIXER_OPENED_2;DI;5;3
MIXER_ISON_1;DI;5;4
ALLOW_UNLOAD_1;DI;5;5
FCONVEYOR_ISON_1;DI;5;6
RCONVEYOR_ISON_1;DI;5;7

DCEMENT_OPEN_1;DO;6;1
DCEMENT_OPEN_2;DO;6;2
DADDITIONS_OPEN_1;DO;6;3
FILLER_OPEN_1;DO;6;4
FILLER_OPEN_2;DO;6;5
FILLER_OPEN_3;DO;6;6
MIXER_OPEN_1;DO;6;7
MCONTAINER_OPEN_1;DO;6;8
AERATOR_ON_1;DO;7;1
AERATOR_ON_2;DO;7;2
AERATOR_ON_3;DO;7;3
CONVEYOR_ON_1;DO;7;4
TCONVEYOR_ON_1;DO;7;5
AUGER_ON_1;DO;7;6
AUGER_ON_2;DO;7;7
AUGER_ON_3;DO;7;8
WATER_OPEN_1;DO;8;1
APUMP_ON_1;DO;8;2
MIXER_ON_1;DO;8;3
MIXER_OPEN_2;DO;8;4
MIXER_CLOSE_2;DO;8;5
FCONVEYOR_ON_1;DO;8;6
RCONVEYOR_ON_1;DO;8;7
DC_VIBRATOR_ON_1;DO;8;8
DC_VIBRATOR_ON_2;DO;9;1
VIBRATOR_ON_1;DO;9;2
VIBRATOR_ON_2;DO;9;3
VIBRATOR_ON_3;DO;9;4
MC_VIBRATOR_ON_1;DO;9;5
